Question
What was your favourite part of our wedding?
What food makes you the happiest in the world?
What was your first thought (other than saying yes) when I asked you to marry me?
What are you most looking forward to in Greece?
If you could do anything differently in your business, what would it be and why?
How many garden gnomes (that are alive) do you reckon you could fight at a time and why?
What's your favourite part of the day?
